geneA	geneB	p-Value	Log Odds Ratio	Association
GLI2	TPO	0.18901098901099528	2.315007612992603	Tendency towards co-occurrence
GLI2	TLR3	0.06520146520146415	3.7727609380946383	Tendency towards co-occurrence
GLI2	APC	0.1074481074481072	3.056356895370426	Tendency towards co-occurrence
GLI2	MARCO	0.18901098901099528	2.315007612992603	Tendency towards co-occurrence
GLI2	FGF9	0.043711843711837374	4.477336814478207	Tendency towards co-occurrence(Significant)
GLI2	E2F1	0.8925518925519926	-Infinity	Tendency towards mutual exclusivity
GLI2	CIITA	0.9780219780219295	-Infinity	Tendency towards mutual exclusivity
GLI2	GC	0.1074481074481072	3.056356895370426	Tendency towards co-occurrence
GLI2	ABCA1	0.9562881562880413	-Infinity	Tendency towards mutual exclusivity
GLI2	PLA2G3	0.9780219780219295	-Infinity	Tendency towards mutual exclusivity
NOD2	TPO	0.6544242274578594	-Infinity	Tendency towards mutual exclusivity
NOD2	TLR3	0.8724945466517775	-Infinity	Tendency towards mutual exclusivity
NOD2	APC	0.20545559309605205	1.9339339580085977	Tendency towards co-occurrence
NOD2	MARCO	0.6544242274578594	-Infinity	Tendency towards mutual exclusivity
NOD2	FGF9	0.9135531135530535	-Infinity	Tendency towards mutual exclusivity
NOD2	E2F1	0.7945444069040464	-Infinity	Tendency towards mutual exclusivity
NOD2	CIITA	0.9560439560439393	-Infinity	Tendency towards mutual exclusivity
NOD2	GC	0.20545559309605205	1.9339339580085977	Tendency towards co-occurrence
NOD2	ABCA1	0.9135531135530535	-Infinity	Tendency towards mutual exclusivity
NOD2	PLA2G3	0.9560439560439393	-Infinity	Tendency towards mutual exclusivity
TPO	TLR3	0.2710211137177479	1.6094379124341003	Tendency towards co-occurrence
TPO	APC	0.0062235323761873	2.995732273553991	Tendency towards co-occurrence(Significant)
TPO	MARCO	0.00029082697997334173	3.193558016883911	Tendency towards co-occurrence(Significant)
TPO	FGF9	0.18901098901099528	2.315007612992603	Tendency towards co-occurrence
TPO	E2F1	0.0062235323761873	2.995732273553991	Tendency towards co-occurrence(Significant)
TPO	CIITA	0.0989010989011039	Infinity	Tendency towards co-occurrence
TPO	GC	0.41327483055503894	0.8909729238898652	Tendency towards co-occurrence
TPO	ABCA1	0.8109890109890795	-Infinity	Tendency towards mutual exclusivity
TPO	PLA2G3	0.0989010989011039	Infinity	Tendency towards co-occurrence
TLR3	APC	0.007161377947895528	4.037186148382152	Tendency towards co-occurrence(Significant)
TLR3	MARCO	0.02499073959748035	3.1416861861770706	Tendency towards co-occurrence(Significant)
TLR3	FGF9	0.06520146520146415	3.7727609380946383	Tendency towards co-occurrence
TLR3	E2F1	0.842408527801906	-Infinity	Tendency towards mutual exclusivity
TLR3	CIITA	0.9670329670330484	-Infinity	Tendency towards mutual exclusivity
TLR3	GC	0.15759147219822797	2.3513752571634776	Tendency towards co-occurrence
TLR3	ABCA1	0.06520146520146415	3.7727609380946383	Tendency towards co-occurrence
TLR3	PLA2G3	0.9670329670330484	-Infinity	Tendency towards mutual exclusivity
APC	MARCO	0.006223532376186592	2.995732273553991	Tendency towards co-occurrence(Significant)
APC	FGF9	0.10744810744809499	3.056356895370426	Tendency towards co-occurrence
APC	E2F1	0.022801706451451992	2.9147632110203237	Tendency towards co-occurrence(Significant)
APC	CIITA	0.9450549450549383	-Infinity	Tendency towards mutual exclusivity
APC	GC	0.022801706451451992	2.9147632110203237	Tendency towards co-occurrence(Significant)
APC	ABCA1	0.8925518925518912	-Infinity	Tendency towards mutual exclusivity
APC	PLA2G3	0.054945054945054236	Infinity	Tendency towards co-occurrence
MARCO	FGF9	0.18901098901099528	2.315007612992603	Tendency towards co-occurrence
MARCO	E2F1	0.0062235323761873	2.995732273553991	Tendency towards co-occurrence(Significant)
MARCO	CIITA	0.0989010989011039	Infinity	Tendency towards co-occurrence
MARCO	GC	0.07477954049051348	2.018072595303544	Tendency towards co-occurrence
MARCO	ABCA1	0.18901098901099528	2.315007612992603	Tendency towards co-occurrence
MARCO	PLA2G3	0.0989010989011039	Infinity	Tendency towards co-occurrence
FGF9	E2F1	0.8925518925519926	-Infinity	Tendency towards mutual exclusivity
FGF9	CIITA	0.9780219780219295	-Infinity	Tendency towards mutual exclusivity
FGF9	GC	0.1074481074481072	3.056356895370426	Tendency towards co-occurrence
FGF9	ABCA1	0.9562881562880413	-Infinity	Tendency towards mutual exclusivity
FGF9	PLA2G3	0.9780219780219295	-Infinity	Tendency towards mutual exclusivity
E2F1	CIITA	0.9450549450549383	-Infinity	Tendency towards mutual exclusivity
E2F1	GC	0.7488809352427968	-Infinity	Tendency towards mutual exclusivity
E2F1	ABCA1	0.10744810744809499	3.056356895370426	Tendency towards co-occurrence
E2F1	PLA2G3	0.054945054945054236	Infinity	Tendency towards co-occurrence
CIITA	GC	0.9450549450550457	-Infinity	Tendency towards mutual exclusivity
CIITA	ABCA1	0.9780219780219295	-Infinity	Tendency towards mutual exclusivity
CIITA	PLA2G3	0.9890109890109172	-Infinity	Tendency towards mutual exclusivity
GC	ABCA1	0.8925518925518912	-Infinity	Tendency towards mutual exclusivity
GC	PLA2G3	0.9450549450549383	-Infinity	Tendency towards mutual exclusivity
ABCA1	PLA2G3	0.9780219780219295	-Infinity	Tendency towards mutual exclusivity
