geneA	geneB	p-Value	Log Odds Ratio	Association
GLI2	APC	0.27104289493267236	-0.6931471805599453	Tendency towards mutual exclusivity
GLI2	MARCO	0.009346632824497858	1.0549130282021657	Tendency towards co-occurrence(Significant)
GLI2	FGF9	0.5780425627933964	-Infinity	Tendency towards mutual exclusivity
GLI2	E2F1	0.026188535863929267	1.5550438403683016	Tendency towards co-occurrence(Significant)
GLI2	CIITA	0.027016326629544875	1.1786549963416462	Tendency towards co-occurrence(Significant)
GLI2	GC	0.00628697861482556	1.8080403548321926	Tendency towards co-occurrence(Significant)
GLI2	ABCA1	0.035464459104957	1.2296152349392737	Tendency towards co-occurrence(Significant)
GLI2	PLA2G3	0.008094526206752148	1.5199759828440724	Tendency towards co-occurrence(Significant)
NOD2	TPO	0.000015595239397674243	1.9859154836690125	Tendency towards co-occurrence(Significant)
NOD2	TLR3	0.0013583846924853813	1.9499834744429492	Tendency towards co-occurrence(Significant)
NOD2	APC	0.0066979990562416065	1.4186596456219223	Tendency towards co-occurrence(Significant)
NOD2	MARCO	0.001220814583165466	1.4961092271270973	Tendency towards co-occurrence(Significant)
NOD2	FGF9	0.30819040020202315	1.2178757094949273	Tendency towards co-occurrence
NOD2	E2F1	0.20481214791915553	1.0176432261344426	Tendency towards co-occurrence
NOD2	CIITA	0.00007108837678636831	2.203378442910598	Tendency towards co-occurrence(Significant)
NOD2	GC	0.37944662957522257	-Infinity	Tendency towards mutual exclusivity
NOD2	ABCA1	0.0009989694768029259	2.0271355889778992	Tendency towards co-occurrence(Significant)
NOD2	PLA2G3	0.0001093530918870505	2.3156571745613985	Tendency towards co-occurrence(Significant)
TPO	TLR3	0.10353985366875144	0.8604993722457396	Tendency towards co-occurrence
TPO	APC	0.008156315070173316	1.133098464739279	Tendency towards co-occurrence(Significant)
TPO	MARCO	0.11606829123897715	0.5549504286749287	Tendency towards co-occurrence
TPO	FGF9	0.12881052751201363	1.5247952692800213	Tendency towards co-occurrence
TPO	E2F1	0.01199813508898901	1.6485308382253778	Tendency towards co-occurrence(Significant)
TPO	CIITA	0.024956529554069226	1.1128575438041586	Tendency towards co-occurrence(Significant)
TPO	GC	0.01758741909519053	1.5117994428701844	Tendency towards co-occurrence(Significant)
TPO	ABCA1	0.02580653303356422	1.215988241070347	Tendency towards co-occurrence(Significant)
TPO	PLA2G3	0.02580653303356422	1.215988241070347	Tendency towards co-occurrence(Significant)
TLR3	APC	0.1102324467662132	0.9386202082722438	Tendency towards co-occurrence
TLR3	MARCO	0.3081645934775724	0.44628710262841953	Tendency towards co-occurrence
TLR3	FGF9	0.24495447358253747	1.5099083170870673	Tendency towards co-occurrence
TLR3	E2F1	0.1335404697018972	1.3232362251527536	Tendency towards co-occurrence
TLR3	CIITA	0.13322986925293914	1.010836677785724	Tendency towards co-occurrence
TLR3	GC	0.5223699417041232	0.38776553100876343	Tendency towards co-occurrence
TLR3	ABCA1	0.014564325176235017	1.713797927758343	Tendency towards co-occurrence(Significant)
TLR3	PLA2G3	0.014564325176235017	1.713797927758343	Tendency towards co-occurrence(Significant)
APC	MARCO	0.20833682863074748	0.4700036292457356	Tendency towards co-occurrence
APC	FGF9	0.39503404867958847	0.8834028650293198	Tendency towards co-occurrence
APC	E2F1	0.019642775595899768	1.656690797284646	Tendency towards co-occurrence(Significant)
APC	CIITA	0.4047187498732516	0.33135713595444244	Tendency towards co-occurrence
APC	GC	0.35553694194907287	0.5732958918395028	Tendency towards co-occurrence
APC	ABCA1	0.025396892272321003	1.334374303941531	Tendency towards co-occurrence(Significant)
APC	PLA2G3	0.26615304380352706	0.6191894375058825	Tendency towards co-occurrence
MARCO	FGF9	0.5352311641341227	0.4248831939652659	Tendency towards co-occurrence
MARCO	E2F1	0.5250223168216521	0.20212418409013433	Tendency towards co-occurrence
MARCO	CIITA	0.2397864996588235	0.5085834703603009	Tendency towards co-occurrence
MARCO	GC	0.2736456588160479	0.6277919995158182	Tendency towards co-occurrence
MARCO	ABCA1	0.03743091301026376	1.1119015207867924	Tendency towards co-occurrence(Significant)
MARCO	PLA2G3	0.0020660885530853117	1.6176684115706157	Tendency towards co-occurrence(Significant)
FGF9	E2F1	0.8464664814287284	-Infinity	Tendency towards mutual exclusivity
FGF9	CIITA	0.7123980930631607	-Infinity	Tendency towards mutual exclusivity
FGF9	GC	0.83457790725117	-Infinity	Tendency towards mutual exclusivity
FGF9	ABCA1	0.7660200253483078	-Infinity	Tendency towards mutual exclusivity
FGF9	PLA2G3	0.7660200253483078	-Infinity	Tendency towards mutual exclusivity
E2F1	CIITA	0.18036478460409822	1.110660627184284	Tendency towards co-occurrence
E2F1	GC	0.006332074772326768	2.445241393395569	Tendency towards co-occurrence(Significant)
E2F1	ABCA1	0.12239795279650686	1.3833488508901337	Tendency towards co-occurrence
E2F1	PLA2G3	0.12239795279650686	1.3833488508901337	Tendency towards co-occurrence
CIITA	GC	0.4098843423677454	-Infinity	Tendency towards mutual exclusivity
CIITA	ABCA1	0.02788728255075467	1.4785696372290615	Tendency towards co-occurrence(Significant)
CIITA	PLA2G3	0.11824402201934281	1.074514737089049	Tendency towards co-occurrence
GC	ABCA1	0.5038902073054109	0.4448045226681967	Tendency towards co-occurrence
GC	PLA2G3	0.5038902073054109	0.4448045226681967	Tendency towards co-occurrence
ABCA1	PLA2G3	0.012053146780888667	1.7813349518921708	Tendency towards co-occurrence(Significant)
